snapshot_date,store_id,product_id,units_on_hand,units_reserved
2025-01-01,1,26,72,1
2025-01-01,1,90,203,15
2025-01-01,1,79,104,16
2025-01-01,1,116,208,4
2025-01-01,1,63,35,33
2025-01-01,1,49,255,33
2025-01-01,1,94,253,12
2025-01-01,1,32,229,9
2025-01-01,1,43,266,11
2025-01-01,1,21,195,22
2025-01-01,1,80,96,13
2025-01-01,1,37,259,2
2025-01-01,1,55,146,6
2025-01-01,1,10,33,30
2025-01-01,1,40,43,24
2025-01-01,1,17,24,7
2025-01-01,1,96,103,14
2025-01-01,1,57,31,23
2025-01-01,1,100,149,18
2025-01-01,1,22,44,33
2025-01-01,1,3,154,15
2025-01-01,1,35,214,27
2025-01-01,1,8,27,21
2025-01-01,1,67,92,1
2025-01-01,1,46,101,5
2025-01-01,2,29,193,19
2025-01-01,2,62,182,22
2025-01-01,2,72,152,21
2025-01-01,2,71,29,6
2025-01-01,2,7,128,32
2025-01-01,2,97,56,39
2025-01-01,2,21,169,16
2025-01-01,2,91,103,22
2025-01-01,2,9,56,6
2025-01-01,2,5,25,4
2025-01-01,2,76,195,39
2025-01-01,2,31,104,36
2025-01-01,2,55,161,23
2025-01-01,2,64,105,15
2025-01-01,2,96,25,17
2025-01-01,2,106,69,12
2025-01-01,2,54,127,12
2025-01-01,2,65,42,13
2025-01-01,2,60,186,4
2025-01-01,2,61,159,33
2025-01-01,2,102,161,21
2025-01-01,2,109,14,7
2025-01-01,2,108,11,2
2025-01-01,2,44,192,16
2025-01-01,2,100,8,6
2025-01-01,3,18,130,8
2025-01-01,3,107,232,37
2025-01-01,3,106,232,15
2025-01-01,3,56,27,5
2025-01-01,3,2,298,18
2025-01-01,3,50,27,13
2025-01-01,3,58,290,20
2025-01-01,3,37,244,10
2025-01-01,3,95,176,10
2025-01-01,3,14,17,5
2025-01-01,3,41,117,23
2025-01-01,3,82,259,39
2025-01-01,3,16,105,29
2025-01-01,3,100,236,7
2025-01-01,3,39,82,23
2025-01-01,3,40,279,11
2025-01-01,3,66,274,16
2025-01-01,3,63,271,35
2025-01-01,3,57,43,37
2025-01-01,3,21,153,38
2025-01-01,3,111,183,5
2025-01-01,3,55,196,21
2025-01-01,3,113,298,4
2025-01-01,3,73,298,17
2025-01-01,3,32,160,25
2025-01-01,4,87,169,16
2025-01-01,4,38,252,0
2025-01-01,4,39,35,32
2025-01-01,4,57,240,31
2025-01-01,4,33,177,2
2025-01-01,4,103,63,19
2025-01-01,4,42,192,28
2025-01-01,4,19,22,19
2025-01-01,4,31,116,27
2025-01-01,4,110,250,9
2025-01-01,4,76,175,2
2025-01-01,4,1,65,32
2025-01-01,4,4,14,0
2025-01-01,4,34,158,4
2025-01-01,4,10,236,30
2025-01-01,4,48,16,15
2025-01-01,4,22,123,17
2025-01-01,4,118,216,2
2025-01-01,4,20,127,6
2025-01-01,4,99,211,6
2025-01-01,4,69,113,19
2025-01-01,4,49,6,5
2025-01-01,4,65,249,37
2025-01-01,4,70,65,5
2025-01-01,4,47,197,17
2025-01-01,5,45,181,3
2025-01-01,5,63,216,25
2025-01-01,5,42,266,32
2025-01-01,5,112,35,22
2025-01-01,5,23,183,29
2025-01-01,5,64,56,20
2025-01-01,5,120,186,26
2025-01-01,5,37,213,5
2025-01-01,5,84,215,26
2025-01-01,5,116,286,37
2025-01-01,5,95,154,2
2025-01-01,5,66,289,15
2025-01-01,5,110,215,15
2025-01-01,5,88,198,16
2025-01-01,5,26,208,40
2025-01-01,5,17,7,5
2025-01-01,5,102,291,23
2025-01-01,5,73,160,7
2025-01-01,5,101,211,7
2025-01-01,5,52,36,14
2025-01-01,5,115,106,37
2025-01-01,5,91,171,26
2025-01-01,5,109,96,11
2025-01-01,5,44,67,16
2025-01-01,5,12,190,4
2025-01-01,6,67,269,30
2025-01-01,6,20,292,32
2025-01-01,6,48,209,12
2025-01-01,6,51,43,36
2025-01-01,6,79,217,14
2025-01-01,6,52,29,11
2025-01-01,6,9,82,31
2025-01-01,6,77,26,8
2025-01-01,6,17,104,24
2025-01-01,6,11,292,11
2025-01-01,6,19,92,22
2025-01-01,6,84,288,5
2025-01-01,6,94,216,16
2025-01-01,6,56,68,15
2025-01-01,6,74,2,0
2025-01-01,6,59,68,30
2025-01-01,6,99,144,25
2025-01-01,6,40,300,0
2025-01-01,6,73,56,31
2025-01-01,6,93,199,13
2025-01-01,6,50,55,38
2025-01-01,6,76,46,36
2025-01-01,6,64,257,27
2025-01-01,6,72,124,29
2025-01-01,6,39,8,8
2025-01-01,7,47,200,39
2025-01-01,7,88,148,10
2025-01-01,7,45,266,19
2025-01-01,7,29,33,0
2025-01-01,7,108,152,0
2025-01-01,7,50,18,6
2025-01-01,7,1,81,30
