spend_date,channel,campaign,utm_source,utm_campaign,spend_cents,impressions,clicks
2024-01-01,email,spring_sale,email,spring_sale,54460,18153,865
2024-01-02,google,spring_sale,google,spring_sale,174792,43698,519
2024-01-02,bing,back_to_school,bing,back_to_school,15274,7637,325
2024-01-03,google,brand_search,google,brand_search,229022,38170,1823
2024-01-03,bing,brand_search,bing,brand_search,180053,36010,1518
2024-01-03,meta,brand_search,meta,brand_search,297087,37135,388
2024-01-04,google,always_on,google,always_on,248577,35511,733
2024-01-04,meta,spring_sale,meta,spring_sale,376700,94175,677
2024-01-05,google,back_to_school,google,back_to_school,142920,47640,569
2024-01-05,bing,brand_search,bing,brand_search,458751,229375,10228
2024-01-05,email,holiday_2024,email,holiday_2024,315258,157629,6737
2024-01-06,bing,spring_sale,bing,spring_sale,421907,84381,2232
2024-01-06,email,spring_sale,email,spring_sale,405579,57939,879
2024-01-07,google,holiday_2025,google,holiday_2025,374638,93659,1363
2024-01-07,meta,holiday_2024,meta,holiday_2024,186327,26618,142
2024-01-07,email,spring_sale,email,spring_sale,293139,36642,862
2024-01-08,google,summer_clearance,google,summer_clearance,331329,66265,1532
2024-01-08,meta,spring_sale,meta,spring_sale,351709,175854,4834
2024-01-08,email,holiday_2024,email,holiday_2024,112458,16065,603
2024-01-09,email,back_to_school,email,back_to_school,170963,21370,714
2024-01-10,bing,back_to_school,bing,back_to_school,45695,5711,162
2024-01-10,meta,spring_sale,meta,spring_sale,431849,86369,3975
2024-01-11,bing,summer_clearance,bing,summer_clearance,271676,135838,4426
2024-01-11,email,back_to_school,email,back_to_school,424183,53022,2329
2024-01-12,bing,spring_sale,bing,spring_sale,361007,120335,3815
2024-01-12,email,spring_sale,email,spring_sale,144277,20611,529
2024-01-13,google,back_to_school,google,back_to_school,125767,20961,351
2024-01-13,bing,holiday_2024,bing,holiday_2024,265251,37893,785
2024-01-13,meta,holiday_2025,meta,holiday_2025,465028,66432,2477
2024-01-14,bing,back_to_school,bing,back_to_school,89568,14928,742
2024-01-14,meta,brand_search,meta,brand_search,175004,43751,1788
2024-01-14,email,brand_search,email,brand_search,222839,31834,1255
2024-01-16,google,spring_sale,google,spring_sale,52823,10564,474
2024-01-16,bing,back_to_school,bing,back_to_school,154380,77190,1203
2024-01-16,meta,spring_sale,meta,spring_sale,173977,43494,1396
2024-01-17,bing,spring_sale,bing,spring_sale,222533,44506,1595
2024-01-17,meta,summer_clearance,meta,summer_clearance,105394,35131,266
2024-01-17,email,always_on,email,always_on,9893,1236,7
2024-01-18,meta,summer_clearance,meta,summer_clearance,84901,42450,395
2024-01-18,email,spring_sale,email,spring_sale,154231,22033,1047
2024-01-19,google,always_on,google,always_on,42143,10535,324
