order_item_id,order_id,product_id,quantity,unit_price_cents,discount_cents
1,1,16,1,16574,0
2,2,116,3,17316,0
3,2,102,3,19317,0
4,2,101,2,5194,0
5,2,107,4,9833,0
6,2,71,1,13141,0
7,3,2,2,12227,0
8,4,47,2,3212,0
9,4,27,4,13324,0
10,4,47,4,3212,0
11,5,19,2,11142,0
12,5,2,2,12227,0
13,6,51,1,5425,0
14,7,47,3,3212,0
15,7,108,3,13203,0
16,7,54,1,6057,0
17,8,90,4,14361,5744
18,8,118,1,20883,0
19,8,37,4,7138,0
20,9,52,1,10169,0
21,9,44,2,3661,0
22,9,85,3,16803,10081
23,9,84,4,17517,0
24,9,58,3,3065,1839
25,10,27,2,13324,0
26,11,81,2,5592,0
27,11,118,4,20883,0
28,11,32,3,4849,0
29,12,61,3,14827,0
30,12,18,2,12060,0
31,12,60,4,11428,0
32,12,83,3,6769,2030
33,13,109,2,6041,0
34,13,62,1,8096,0
35,13,64,4,7238,0
36,13,103,4,5913,4730
37,13,30,1,7873,0
38,14,11,4,9600,0
39,14,68,3,17200,0
40,14,100,3,2846,0
41,15,42,1,5301,0
42,15,70,1,7120,0
43,16,55,3,16404,4921
44,16,48,4,16373,0
45,16,5,3,14566,0
46,17,119,3,9676,0
47,17,16,2,16574,0
48,18,50,3,5963,0
49,18,82,1,18424,3684
50,18,68,1,17200,0
51,18,83,3,6769,0
52,19,76,1,7617,0
53,19,32,1,4849,969
54,19,105,4,3889,0
55,20,44,1,3661,0
56,20,84,2,17517,0
57,20,17,4,12746,0
58,20,73,3,4313,1293
59,20,97,2,10963,0
60,21,25,2,6048,0
61,21,42,4,5301,0
62,21,111,2,3435,0
63,21,20,4,5873,0
64,22,81,3,5592,0
65,23,37,3,7138,0
66,23,42,1,5301,0
67,23,87,1,7728,0
68,23,17,2,12746,0
69,23,14,4,11445,0
70,24,7,3,11612,0
71,24,95,1,15500,0
72,24,27,4,13324,0
73,25,110,3,17269,0
74,25,110,3,17269,0
75,25,97,1,10963,0
76,25,28,1,8632,0
77,26,100,4,2846,2276
78,26,46,4,14724,5889
79,26,118,1,20883,0
80,26,24,4,4614,0
81,26,87,2,7728,0
82,27,79,2,3449,0
83,27,28,4,8632,0
84,27,47,4,3212,0
85,28,39,2,14312,0
86,29,47,2,3212,0
87,29,108,3,13203,0
88,29,52,2,10169,0
89,30,49,1,12310,0
90,30,45,4,9792,0
91,30,116,1,17316,0
92,30,100,1,2846,0
93,30,82,4,18424,0
94,31,59,1,15685,0
95,31,38,4,2380,0
96,31,44,1,3661,0
97,31,100,1,2846,0
98,32,85,2,16803,0
99,32,99,2,3788,0
100,32,35,4,6275,0
101,32,75,1,11852,0
102,33,22,3,1139,0
103,33,107,4,9833,0
104,33,58,1,3065,0
105,34,19,3,11142,0
106,34,92,1,15860,0
107,34,62,1,8096,0
108,34,99,2,3788,0
109,34,68,3,17200,0
110,35,6,3,18154,0
111,35,37,2,7138,2855
112,35,35,1,6275,0
113,35,2,1,12227,0
114,35,35,3,6275,0
115,36,120,3,5893,0
116,37,40,3,3223,0
117,37,100,2,2846,0
118,37,91,3,13920,0
119,37,39,2,14312,5724
120,37,36,1,3094,0
121,38,12,4,12827,0
122,38,90,2,14361,0
123,39,76,2,7617,0
124,39,92,2,15860,0
125,40,24,3,4614,0
126,41,20,2,5873,0
127,41,24,1,4614,922
128,41,80,3,12272,0
129,42,18,4,12060,0
130,42,24,4,4614,0
131,42,18,2,12060,0
132,42,5,4,14566,0
133,43,58,4,3065,0
134,43,115,4,18515,7406
135,44,69,1,6832,0
136,44,59,4,15685,0
137,44,117,2,8203,0
138,44,51,1,5425,0
139,44,68,1,17200,0
140,45,92,2,15860,0
141,46,4,2,14188,0
142,46,119,2,9676,0
143,46,33,3,3249,0
144,46,95,2,15500,0
145,47,97,2,10963,0
146,47,49,1,12310,0
147,47,74,2,10688,0
148,47,19,2,11142,0
149,48,2,4,12227,0
