session_id,customer_id,session_start_ts,session_end_ts,channel,landing_page,device,utm_source,utm_campaign
sess_000001,115,2024-12-15T21:17:14,2024-12-15T21:38:20,web,/product,mobile,organic,back_to_school
sess_000002,741,2025-04-08T19:18:41,2025-04-08T19:47:44,web,/category,desktop,google,back_to_school
sess_000003,719,2026-04-16T08:13:57,2026-04-16T08:17:17,mobile_app,/promo,desktop,email,spring_sale
sess_000004,,2025-01-03T18:32:22,2025-01-03T18:48:49,mobile_app,/category,tablet,google,back_to_school
sess_000005,584,2026-05-08T16:42:02,2026-05-08T17:01:12,mobile_app,/category,mobile,google,summer_clearance
sess_000006,391,2024-08-06T09:11:52,2024-08-06T09:26:10,mobile_app,/product,mobile,bing,holiday_2025
sess_000007,10,2024-12-15T21:42:03,2024-12-15T21:53:03,web,/product,desktop,email,always_on
sess_000008,157,2024-10-31T20:31:52,2024-10-31T21:11:33,mobile_app,/promo,mobile,google,summer_clearance
sess_000009,,2026-05-29T10:49:47,2026-05-29T11:09:13,web,/promo,desktop,organic,back_to_school
sess_000010,46,2025-08-31T09:16:27,2025-08-31T09:24:31,web,/product,desktop,organic,holiday_2024
sess_000011,,2025-08-26T22:32:59,2025-08-26T22:48:43,web,/cart,mobile,bing,spring_sale
sess_000012,,2026-03-31T18:41:26,2026-03-31T18:45:51,web,/promo,tablet,bing,always_on
sess_000013,317,2024-08-13T20:07:54,2024-08-13T20:38:21,mobile_app,/category,desktop,google,back_to_school
sess_000014,476,2025-01-03T11:41:48,2025-01-03T11:58:35,mobile_app,/category,desktop,meta,back_to_school
sess_000015,,2024-05-14T21:59:52,2024-05-14T22:37:29,web,/category,mobile,google,always_on
sess_000016,506,2025-11-17T08:02:08,2025-11-17T08:23:49,mobile_app,/promo,desktop,email,summer_clearance
sess_000017,,2024-12-17T08:40:02,2024-12-17T08:52:59,mobile_app,/product,desktop,organic,holiday_2025
sess_000018,530,2025-08-28T15:23:41,2025-08-28T15:57:20,mobile_app,/category,desktop,google,spring_sale
sess_000019,164,2025-10-05T16:59:43,2025-10-05T17:02:38,mobile_app,/product,desktop,google,always_on
sess_000020,305,2024-11-04T17:08:55,2024-11-04T17:45:36,web,/cart,tablet,google,always_on
sess_000021,192,2024-10-12T22:18:31,2024-10-12T22:50:49,mobile_app,/promo,mobile,email,brand_search
sess_000022,155,2026-05-09T21:47:54,2026-05-09T22:01:48,web,/product,mobile,bing,spring_sale
sess_000023,,2026-05-05T20:23:47,2026-05-05T20:55:52,mobile_app,/product,tablet,google,always_on
sess_000024,,2026-01-27T11:00:18,2026-01-27T11:15:35,mobile_app,/promo,desktop,google,holiday_2025
sess_000025,529,2025-07-29T22:32:53,2025-07-29T22:42:58,mobile_app,/product,mobile,google,summer_clearance
sess_000026,646,2025-11-20T15:58:13,2025-11-20T16:06:09,web,/category,tablet,google,summer_clearance
sess_000027,,2024-01-21T08:34:06,2024-01-21T08:34:56,web,/home,desktop,organic,back_to_school
sess_000028,448,2024-01-13T15:22:23,2024-01-13T16:01:42,web,/home,mobile,google,back_to_school
sess_000029,,2025-06-02T12:47:47,2025-06-02T13:07:46,web,/product,desktop,google,back_to_school
sess_000030,22,2026-02-09T18:57:30,2026-02-09T19:20:48,web,/category,tablet,google,holiday_2025
sess_000031,,2025-10-12T16:35:06,2025-10-12T17:02:20,mobile_app,/home,tablet,google,always_on
sess_000032,147,2025-06-11T16:54:49,2025-06-11T16:57:07,mobile_app,/home,mobile,meta,summer_clearance
sess_000033,,2024-12-23T13:18:09,2024-12-23T13:54:56,mobile_app,/category,tablet,organic,brand_search
sess_000034,,2026-04-27T16:28:11,2026-04-27T16:32:06,web,/category,tablet,google,brand_search
sess_000035,,2024-06-07T20:08:30,2024-06-07T20:12:58,mobile_app,/category,desktop,meta,always_on
sess_000036,,2024-10-26T08:10:24,2024-10-26T08:34:48,mobile_app,/promo,desktop,google,back_to_school
sess_000037,254,2025-07-27T22:03:10,2025-07-27T22:19:35,web,/home,tablet,google,holiday_2025
sess_000038,334,2024-12-28T18:17:46,2024-12-28T18:54:42,web,/product,desktop,organic,holiday_2025
sess_000039,793,2025-06-18T19:11:30,2025-06-18T19:27:13,mobile_app,/promo,desktop,email,holiday_2025
sess_000040,657,2024-09-22T18:17:31,2024-09-22T18:24:04,web,/category,desktop,google,brand_search
sess_000041,419,2024-02-09T14:09:56,2024-02-09T14:15:09,web,/category,desktop,google,back_to_school
sess_000042,173,2025-03-24T11:50:46,2025-03-24T12:07:58,mobile_app,/product,mobile,bing,brand_search
sess_000043,123,2026-02-07T19:25:12,2026-02-07T19:45:23,mobile_app,/home,tablet,google,holiday_2024
sess_000044,258,2025-04-10T18:07:35,2025-04-10T18:11:46,web,/category,tablet,organic,summer_clearance
sess_000045,,2025-09-25T21:27:26,2025-09-25T21:52:23,mobile_app,/home,tablet,google,spring_sale
sess_000046,459,2025-08-30T08:32:48,2025-08-30T08:45:27,mobile_app,/product,tablet,meta,back_to_school
sess_000047,19,2025-01-17T14:22:54,2025-01-17T14:33:29,mobile_app,/cart,desktop,google,holiday_2024
sess_000048,,2026-05-01T19:51:14,2026-05-01T20:19:55,web,/product,desktop,meta,spring_sale
sess_000049,,2024-07-04T09:18:25,2024-07-04T09:35:24,web,/home,tablet,google,holiday_2025
sess_000050,553,2024-07-30T20:01:16,2024-07-30T20:13:19,mobile_app,/category,desktop,google,spring_sale
sess_000051,510,2024-02-20T10:25:22,2024-02-20T10:47:31,mobile_app,/cart,mobile,organic,back_to_school
sess_000052,,2025-09-09T11:25:25,2025-09-09T11:59:14,web,/home,mobile,google,holiday_2025
sess_000053,287,2024-09-10T12:02:10,2024-09-10T12:37:09,web,/promo,desktop,bing,brand_search
